Agent,Reward,Portfolio,Transaction Cost,Mean Hedging Error,RMSE,Std Dev,Max Error
Random,-1185554.4501551248,-89.6413150062924,89.96423171875243,50.922913363377866,68.5898992219034,45.9503119669146,296.1608418173337
Delta,-764843.7760073869,28.373912060684805,2.7457697299091763,35.050853254742115,55.09168842595214,42.503315396998424,377.6914205706598
DDPG,-702969.8070655438,7.483905431723166,8.436040869663696,38.3793214251087,52.81630510412372,36.28484217686605,213.05281893407226
